Transaction_ID,Date,Hour,Is_Weekend,Outlet_Code,Outlet_Name,City,Region,Product_ID,Product_Name,Category,ABC_Classification,Unit_Price_INR,Unit_Cost_INR,Quantity,Gross_Revenue_INR,Discount_Pct,Discount_Override_Code,Net_Revenue_INR,Gross_Profit_INR,Margin_Pct,Payment_Method,Customer_Rating,Customer_Segment,Store_Footfall_Day
TXN-IN-10030,2026-07-26,18,1,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,1,310,0.0,NONE,310.0,220.0,70.97,UPI (GooglePay/PhonePe),4,At Risk,1291
TXN-IN-10031,2026-08-20,15,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,1,240,0.0,NONE,240.0,175.0,72.92,UPI (GooglePay/PhonePe),5,Champion,967
TXN-IN-10032,2026-07-30,11,0,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,2,520,0.0,NONE,520.0,350.0,67.31,UPI (GooglePay/PhonePe),5,At Risk,1459
TXN-IN-10033,2026-08-24,13,0,BLR-002,Bengaluru – Koramangala 5th Block,Bengaluru,South,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,1,260,0.0,NONE,260.0,175.0,67.31,UPI (GooglePay/PhonePe),3,Champion,1263
TXN-IN-10034,2026-08-31,20,0,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-SNK-006,Smoked Paneer Tikka Sourdough,Gourmet Food,B,310,105,2,620,25.0,OVERRIDE_MGR_01,465.0,255.0,54.84,Cash,1,Champion,1381
TXN-IN-10035,2026-07-31,21,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,1,240,0.0,NONE,240.0,175.0,72.92,Debit Card,4,At Risk,1083
TXN-IN-10036,2026-08-06,9,0,BLR-002,Bengaluru – Koramangala 5th Block,Bengaluru,South,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,1,280,0.0,NONE,280.0,200.0,71.43,UPI (GooglePay/PhonePe),4,Loyal Customer,1278
TXN-IN-10037,2026-08-03,15,0,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,2,480,0.0,NONE,480.0,350.0,72.92,UPI (GooglePay/PhonePe),2,Loyal Customer,1734
TXN-IN-10038,2026-08-21,11,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-SNK-006,Smoked Paneer Tikka Sourdough,Gourmet Food,B,310,105,3,930,0.0,NONE,930.0,615.0,66.13,UPI (GooglePay/PhonePe),5,Hibernating,1029
TXN-IN-10039,2026-07-26,13,1,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-SNK-006,Smoked Paneer Tikka Sourdough,Gourmet Food,B,310,105,2,620,0.0,NONE,620.0,410.0,66.13,Cash,5,At Risk,1453
TXN-IN-10040,2026-08-05,21,0,BLR-001,Bengaluru – Indiranagar 100ft,Bengaluru,South,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,1,260,0.0,NONE,260.0,175.0,67.31,UPI (GooglePay/PhonePe),5,Champion,1240
TXN-IN-10041,2026-08-10,13,0,DEL-001,Delhi – Connaught Place Inner Circle,Delhi,North,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,2,560,0.0,NONE,560.0,400.0,71.43,Debit Card,5,Potential Loyalist,1561
TXN-IN-10042,2026-07-28,14,0,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,2,520,0.0,NONE,520.0,350.0,67.31,UPI (GooglePay/PhonePe),4,Loyal Customer,1710
TXN-IN-10043,2026-07-20,19,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,1,340,0.0,NONE,340.0,220.0,64.71,Credit Card,5,Loyal Customer,954
TXN-IN-10044,2026-08-21,13,0,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,2,620,0.0,NONE,620.0,440.0,70.97,Cash,5,At Risk,1502
TXN-IN-10045,2026-08-04,12,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,2,360,10.0,CAMPAIGN_CODE_PROMO,324.0,214.0,66.05,Cash,4,Champion,1006
TXN-IN-10046,2026-08-29,13,1,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,1,260,0.0,NONE,260.0,175.0,67.31,UPI (GooglePay/PhonePe),3,At Risk,2174
TXN-IN-10047,2026-08-16,19,1,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,2,620,0.0,NONE,620.0,440.0,70.97,Cash,5,At Risk,2263
TXN-IN-10048,2026-07-28,20,0,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-SNK-006,Smoked Paneer Tikka Sourdough,Gourmet Food,B,310,105,4,1240,0.0,NONE,1240.0,820.0,66.13,Cash,5,At Risk,1424
TXN-IN-10049,2026-07-30,13,0,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,0.0,NONE,950.0,330.0,34.74,Cash,5,Champion,1422
TXN-IN-10050,2026-07-24,13,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,1,180,0.0,NONE,180.0,125.0,69.44,UPI (GooglePay/PhonePe),5,Loyal Customer,939
TXN-IN-10051,2026-09-03,14,0,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,1,280,0.0,NONE,280.0,200.0,71.43,UPI (GooglePay/PhonePe),5,Loyal Customer,1767
TXN-IN-10052,2026-08-26,21,0,BLR-001,Bengaluru – Indiranagar 100ft,Bengaluru,South,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,1,260,0.0,NONE,260.0,175.0,67.31,Debit Card,3,Hibernating,1177
TXN-IN-10053,2026-08-23,13,1,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,1,180,0.0,NONE,180.0,125.0,69.44,Debit Card,5,Potential Loyalist,1265
TXN-IN-10054,2026-07-30,17,0,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,4,1240,0.0,NONE,1240.0,880.0,70.97,Cash,5,Champion,1474
TXN-IN-10055,2026-08-16,13,1,BLR-002,Bengaluru – Koramangala 5th Block,Bengaluru,South,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,0.0,NONE,950.0,330.0,34.74,Debit Card,5,Potential Loyalist,1745
TXN-IN-10056,2026-08-06,16,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,2,680,0.0,NONE,680.0,440.0,64.71,UPI (GooglePay/PhonePe),1,Loyal Customer,1186
TXN-IN-10057,2026-07-24,12,0,BLR-001,Bengaluru – Indiranagar 100ft,Bengaluru,South,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,3,720,5.0,CAMPAIGN_CODE_PROMO,684.0,489.0,71.49,UPI (GooglePay/PhonePe),5,Potential Loyalist,1214
TXN-IN-10058,2026-08-02,12,1,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,2,680,0.0,NONE,680.0,440.0,64.71,UPI (GooglePay/PhonePe),4,Champion,1875
TXN-IN-10059,2026-07-26,21,1,BLR-001,Bengaluru – Indiranagar 100ft,Bengaluru,South,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,2,680,0.0,NONE,680.0,440.0,64.71,UPI (GooglePay/PhonePe),5,Potential Loyalist,1632
TXN-IN-10060,2026-08-04,18,0,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,3,1020,25.0,OVERRIDE_MGR_01,765.0,405.0,52.94,Cash,4,Loyal Customer,1434
TXN-IN-10061,2026-07-24,15,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-SNK-006,Smoked Paneer Tikka Sourdough,Gourmet Food,B,310,105,1,310,0.0,NONE,310.0,205.0,66.13,Debit Card,2,Potential Loyalist,957
TXN-IN-10062,2026-09-03,17,0,BLR-002,Bengaluru – Koramangala 5th Block,Bengaluru,South,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,1,260,0.0,NONE,260.0,175.0,67.31,Cash,4,Loyal Customer,1323
TXN-IN-10063,2026-08-18,13,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,1,340,0.0,NONE,340.0,220.0,64.71,Credit Card,3,Champion,1138
TXN-IN-10064,2026-08-25,20,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-SNK-006,Smoked Paneer Tikka Sourdough,Gourmet Food,B,310,105,1,310,0.0,NONE,310.0,205.0,66.13,UPI (GooglePay/PhonePe),5,Loyal Customer,1091
TXN-IN-10065,2026-08-27,12,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,1,240,0.0,NONE,240.0,175.0,72.92,Debit Card,5,Potential Loyalist,1076
TXN-IN-10066,2026-08-19,11,0,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,2,1900,0.0,NONE,1900.0,660.0,34.74,UPI (GooglePay/PhonePe),5,Loyal Customer,1431
TXN-IN-10067,2026-08-24,19,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-SNK-006,Smoked Paneer Tikka Sourdough,Gourmet Food,B,310,105,1,310,0.0,NONE,310.0,205.0,66.13,Debit Card,5,Loyal Customer,870
TXN-IN-10068,2026-08-01,21,1,DEL-001,Delhi – Connaught Place Inner Circle,Delhi,North,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,2,560,0.0,NONE,560.0,400.0,71.43,UPI (GooglePay/PhonePe),5,Loyal Customer,2130
TXN-IN-10069,2026-08-26,20,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,4,1360,0.0,NONE,1360.0,880.0,64.71,Credit Card,5,Champion,976
TXN-IN-10070,2026-07-28,17,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,4,960,0.0,NONE,960.0,700.0,72.92,UPI (GooglePay/PhonePe),4,Potential Loyalist,926
TXN-IN-10071,2026-07-20,14,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,0.0,NONE,950.0,330.0,34.74,Credit Card,2,Loyal Customer,916
TXN-IN-10072,2026-08-14,19,0,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,2,560,0.0,NONE,560.0,400.0,71.43,Cash,2,Champion,1373
TXN-IN-10073,2026-07-27,19,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,2,520,0.0,NONE,520.0,350.0,67.31,Cash,5,At Risk,916
TXN-IN-10074,2026-08-26,10,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,2,680,0.0,NONE,680.0,440.0,64.71,UPI (GooglePay/PhonePe),2,Champion,1074
TXN-IN-10075,2026-08-05,17,0,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,1,310,25.0,OVERRIDE_MGR_01,232.5,142.5,61.29,Debit Card,3,Loyal Customer,1399
TXN-IN-10076,2026-08-07,13,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,0.0,NONE,950.0,330.0,34.74,Cash,4,Hibernating,1008
TXN-IN-10077,2026-07-27,21,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,2,360,0.0,NONE,360.0,250.0,69.44,UPI (GooglePay/PhonePe),5,Potential Loyalist,992
TXN-IN-10078,2026-08-25,19,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,0.0,NONE,950.0,330.0,34.74,Credit Card,5,Loyal Customer,920
TXN-IN-10079,2026-08-27,18,0,BLR-001,Bengaluru – Indiranagar 100ft,Bengaluru,South,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,2,520,5.0,CAMPAIGN_CODE_PROMO,494.0,324.0,65.59,Cash,5,Champion,1265
TXN-IN-10080,2026-09-01,12,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,2,480,0.0,NONE,480.0,350.0,72.92,Debit Card,3,Champion,1049
TXN-IN-10081,2026-08-16,15,1,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,1,280,0.0,NONE,280.0,200.0,71.43,UPI (GooglePay/PhonePe),3,Loyal Customer,1973
TXN-IN-10082,2026-08-20,17,0,MUM-002,Mumbai – Lower Parel High Street,Mumbai,West,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,2,520,0.0,NONE,520.0,350.0,67.31,Credit Card,5,Champion,1097
TXN-IN-10083,2026-08-14,17,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,2,480,0.0,NONE,480.0,350.0,72.92,UPI (GooglePay/PhonePe),5,Potential Loyalist,967
TXN-IN-10084,2026-08-29,17,1,HYD-001,Hyderabad – Hitec City Cyber Towers,Hyderabad,South,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,1,240,0.0,NONE,240.0,175.0,72.92,Debit Card,3,Loyal Customer,1803
TXN-IN-10085,2026-08-29,8,1,MUM-001,Mumbai – Bandra West Linking Rd,Mumbai,West,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,1,310,0.0,NONE,310.0,220.0,70.97,UPI (GooglePay/PhonePe),1,At Risk,2265
TXN-IN-10086,2026-07-27,13,0,BLR-002,Bengaluru – Koramangala 5th Block,Bengaluru,South,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,3,2850,0.0,NONE,2850.0,990.0,34.74,Debit Card,4,Hibernating,1262
TXN-IN-10087,2026-08-18,21,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-BEV-003,Nitro Cold Brew Infusion,Specialty Beverages,A,310,90,1,310,0.0,NONE,310.0,220.0,70.97,UPI (GooglePay/PhonePe),3,Loyal Customer,946
TXN-IN-10088,2026-08-10,13,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-SNK-005,Truffle Cheese Mushroom Panini,Gourmet Food,A,340,120,2,680,0.0,NONE,680.0,440.0,64.71,Cash,5,Potential Loyalist,878
TXN-IN-10089,2026-08-17,17,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,0.0,NONE,950.0,330.0,34.74,Debit Card,2,At Risk,1018
TXN-IN-10090,2026-08-04,15,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-BAKE-004,Butter Flaky Croissant,Artisanal Bakery,B,180,55,3,540,0.0,NONE,540.0,375.0,69.44,Debit Card,4,At Risk,1118
TXN-IN-10091,2026-08-31,11,0,BLR-002,Bengaluru – Koramangala 5th Block,Bengaluru,South,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,4,3800,0.0,NONE,3800.0,1320.0,34.74,Credit Card,3,At Risk,1312
TXN-IN-10092,2026-07-26,12,1,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,0.0,NONE,950.0,330.0,34.74,UPI (GooglePay/PhonePe),5,Potential Loyalist,1229
TXN-IN-10093,2026-08-10,20,0,DEL-002,Delhi – Cyber Hub Gurugram,Delhi NCR,North,SKU-BEV-002,Monsoon Cinnamon Latte,Specialty Beverages,A,280,80,3,840,0.0,NONE,840.0,600.0,71.43,Debit Card,2,Potential Loyalist,1214
TXN-IN-10094,2026-08-20,13,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-BEV-001,Artisanal Cold Brew (350ml),Specialty Beverages,A,240,65,2,480,0.0,NONE,480.0,350.0,72.92,Credit Card,1,Potential Loyalist,951
TXN-IN-10095,2026-07-26,13,1,BLR-017,Bengaluru – JP Nagar (Outlet 17),Bengaluru,South,SKU-PKG-008,Eco-Kraft Branded Cup (Carton),Packaging,C,950,620,1,950,25.0,OVERRIDE_MGR_01,712.5,92.5,12.98,Credit Card,5,Loyal Customer,1874
TXN-IN-10096,2026-08-04,19,0,CHN-001,Chennai – Anna Nagar 2nd Avenue,Chennai,South,SKU-DES-007,Classic Tiramisu Cup,Desserts,B,260,85,2,520,0.0,NONE,520.0,350.0,67.31,UPI (GooglePay/PhonePe),4,Loyal Customer,1014
